index,title,certificate,genre,runtime,rating
4018,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,A,"Action, Comedy, Crime",109 min,6
4019,2 Hearts,PG-13,"Drama, Romance",101 min,6.3
4020,Enola Holmes,13,"Action, Adventure, Crime",123 min,6.6
4021,I'm Thinking of Ending Things,16,"Drama, Thriller",134 min,6.6
4022,Mulan,12+,"Action, Adventure, Drama",115 min,5.7
4023,Monster Hunter,UA,"Action, Adventure, Fantasy",103 min,5.2
4024,De slag om de Schelde,18,"Drama, War",124 min,7.1
4025,Soul,U,"Animation, Adventure, Comedy",100 min,8
4026,Greyhound,A,"Action, Drama, History",91 min,7
4027,Minari,UA,Drama,115 min,7.4
4028,The Invisible Man,A,"Drama, Horror, Mystery",124 min,7.1
4029,Eurovision Song Contest: The Story of Fire Saga,PG-13,"Comedy, Music",123 min,6.5
4030,Pieces of a Woman,18,Drama,126 min,7
4031,Bill & Ted Face the Music,U,"Adventure, Comedy, Music",91 min,5.9
4032,Run,16,"Mystery, Thriller",90 min,6.7
4033,The Way Back,R,"Drama, Sport",108 min,6.7
4034,Palm Springs,A,"Comedy, Fantasy, Mystery",90 min,7.4
4035,Nomadland,UA,Drama,107 min,7.3
4036,Kimetsu no Yaiba: Mugen Ressha-Hen,UA,"Animation, Action, Adventure",117 min,8.2
4037,Unhinged,A,"Action, Thriller",90 min,6
4038,Becky,R,"Action, Crime, Drama",93 min,5.9
4039,The King of Staten Island,A,"Comedy, Drama",136 min,7.1
4040,The Trial of the Chicago 7,18,"Drama, History, Thriller",129 min,7.7
4041,The New Mutants,A,"Action, Horror, Mystery",94 min,5.3
4042,We Can Be Heroes,7,"Action, Comedy, Drama",100 min,4.7
4043,Fantasy Island,A,"Fantasy, Horror, Mystery",109 min,4.9
4044,Emma.,UA 13+,"Comedy, Drama, Romance",124 min,6.7
4045,Greenland,UA,"Action, Thriller",119 min,6.4
4046,The Night House,A,"Horror, Mystery, Thriller",107 min,6.5
4047,Kol,16,"Crime, Horror, Mystery",112 min,7.1
4048,Underwater,15+,"Action, Horror, Sci-Fi",95 min,5.9
4049,Bad Boys for Life,A,"Action, Comedy, Crime",124 min,6.5
4050,The Babysitter: Killer Queen,18,"Comedy, Horror",101 min,5.8
4051,Tenet,UA,"Action, Sci-Fi, Thriller",150 min,7.3
4052,365 dni,A,"Drama, Romance",114 min,3.3
4053,The Father,UA,"Drama, Mystery",97 min,8.2
4054,Promising Young Woman,A,"Crime, Drama, Mystery",113 min,7.5
4055,The Hunt,R,"Action, Horror, Thriller",90 min,6.5
4056,Hamilton,12+,"Biography, Drama, History",160 min,8.3
4057,After We Collided,18,"Drama, Romance",105 min,5
4058,A Quiet Place Part II,A,"Drama, Horror, Sci-Fi",97 min,7.2
4059,Sonic the Hedgehog,U,"Action, Adventure, Comedy",99 min,6.5
4060,Boss Level,None,"Action, Adventure, Comedy",100 min,6.8
4061,Extraction,18,"Action, Thriller",116 min,6.7
4062,The Devil All the Time,18,"Crime, Drama, Thriller",138 min,7.1
4063,Freaky,R,"Comedy, Horror, Thriller",102 min,6.3
4064,Druk,16,"Comedy, Drama",117 min,7.7
4065,The Old Guard,18,"Action, Thriller",125 min,6.6
4066,Let Him Go,R,"Crime, Drama, Thriller",113 min,6.7
4067,Wonder Woman 1984,UA,"Action, Adventure, Fantasy",151 min,5.4
4068,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,A,"Action, Comedy, Crime",109 min,6
4069,2 Hearts,PG-13,"Drama, Romance",101 min,6.3
4070,Enola Holmes,13,"Action, Adventure, Crime",123 min,6.6
4071,I'm Thinking of Ending Things,16,"Drama, Thriller",134 min,6.6
4072,Mulan,12+,"Action, Adventure, Drama",115 min,5.7
4073,Monster Hunter,UA,"Action, Adventure, Fantasy",103 min,5.2
4074,De slag om de Schelde,18,"Drama, War",124 min,7.1
4075,Soul,U,"Animation, Adventure, Comedy",100 min,8
4076,Greyhound,A,"Action, Drama, History",91 min,7
4077,Minari,UA,Drama,115 min,7.4
4078,The Invisible Man,A,"Drama, Horror, Mystery",124 min,7.1
4079,Eurovision Song Contest: The Story of Fire Saga,PG-13,"Comedy, Music",123 min,6.5
4080,Pieces of a Woman,18,Drama,126 min,7
4081,Bill & Ted Face the Music,U,"Adventure, Comedy, Music",91 min,5.9
4082,Run,16,"Mystery, Thriller",90 min,6.7
4083,The Way Back,R,"Drama, Sport",108 min,6.7
4084,Palm Springs,A,"Comedy, Fantasy, Mystery",90 min,7.4
4085,Nomadland,UA,Drama,107 min,7.3
4086,Kimetsu no Yaiba: Mugen Ressha-Hen,UA,"Animation, Action, Adventure",117 min,8.2
