index,title,certificate,genre,runtime,rating
1,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
2,Nobody,A,"Action, Crime, Drama",92 min,7.4
3,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
4,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
5,CODA,A,"Comedy, Drama, Music",111 min,8
6,F9,UA,"Action, Crime, Thriller",143 min,5.2
7,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
8,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
9,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
10,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
11,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
12,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
13,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
14,The Fallout,A,Drama,96 min,7
15,The Black Phone,A,"Horror, Thriller",103 min,6.9
16,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
17,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
18,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
19,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
20,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
21,Encanto,U,"Animation, Comedy, Family",102 min,7.2
22,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
23,Old,UA,"Drama, Horror, Mystery",108 min,5.8
24,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
25,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
26,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
27,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
28,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
29,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
30,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
31,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
32,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
33,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
34,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
35,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
36,Pleasure,R,Drama,109 min,6.4
37,The Last Duel,A,"Action, Drama, History",152 min,7.4
38,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
39,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
40,The Power of the Dog,16,"Drama, Western",126 min,6.8
41,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
42,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
43,Pig,R,"Drama, Mystery",92 min,6.9
44,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
45,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
46,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
47,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
48,Silent Hours,None,"Crime, Thriller",156 min,5.2
49,Boiling Point,R,"Drama, Thriller",92 min,7.5
50,The Road Dance,None,Drama,116 min,7
51,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
52,Nobody,A,"Action, Crime, Drama",92 min,7.4
53,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
54,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
55,CODA,A,"Comedy, Drama, Music",111 min,8
56,F9,UA,"Action, Crime, Thriller",143 min,5.2
57,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
58,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
59,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
60,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
61,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
62,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
63,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
64,The Fallout,A,Drama,96 min,7
65,The Black Phone,A,"Horror, Thriller",103 min,6.9
66,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
67,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
68,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
69,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
70,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
71,Encanto,U,"Animation, Comedy, Family",102 min,7.2
72,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
73,Old,UA,"Drama, Horror, Mystery",108 min,5.8
74,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
75,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
76,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
77,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
78,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
79,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
80,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
81,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
82,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
83,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
84,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
85,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
86,Pleasure,R,Drama,109 min,6.4
87,The Last Duel,A,"Action, Drama, History",152 min,7.4
88,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
89,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
90,The Power of the Dog,16,"Drama, Western",126 min,6.8
91,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
92,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
93,Pig,R,"Drama, Mystery",92 min,6.9
94,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
95,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
96,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
97,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
98,Silent Hours,None,"Crime, Thriller",156 min,5.2
99,Boiling Point,R,"Drama, Thriller",92 min,7.5
100,The Road Dance,None,Drama,116 min,7
101,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
102,Nobody,A,"Action, Crime, Drama",92 min,7.4
103,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
104,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
105,CODA,A,"Comedy, Drama, Music",111 min,8
106,F9,UA,"Action, Crime, Thriller",143 min,5.2
107,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
108,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
109,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
110,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
111,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
112,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
113,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
114,The Fallout,A,Drama,96 min,7
115,The Black Phone,A,"Horror, Thriller",103 min,6.9
116,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
117,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
118,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
119,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
120,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
121,Encanto,U,"Animation, Comedy, Family",102 min,7.2
122,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
123,Old,UA,"Drama, Horror, Mystery",108 min,5.8
124,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
125,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
126,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
127,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
128,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
129,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
130,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
131,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
132,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
133,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
134,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
135,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
136,Pleasure,R,Drama,109 min,6.4
137,The Last Duel,A,"Action, Drama, History",152 min,7.4
138,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
139,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
140,The Power of the Dog,16,"Drama, Western",126 min,6.8
141,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
142,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
143,Pig,R,"Drama, Mystery",92 min,6.9
144,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
145,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
146,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
147,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
148,Silent Hours,None,"Crime, Thriller",156 min,5.2
149,Boiling Point,R,"Drama, Thriller",92 min,7.5
150,The Road Dance,None,Drama,116 min,7
151,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
152,Nobody,A,"Action, Crime, Drama",92 min,7.4
153,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
154,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
155,CODA,A,"Comedy, Drama, Music",111 min,8
156,F9,UA,"Action, Crime, Thriller",143 min,5.2
157,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
158,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
159,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
160,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
161,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
162,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
163,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
164,The Fallout,A,Drama,96 min,7
165,The Black Phone,A,"Horror, Thriller",103 min,6.9
166,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
167,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
168,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
169,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
170,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
171,Encanto,U,"Animation, Comedy, Family",102 min,7.2
172,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
173,Old,UA,"Drama, Horror, Mystery",108 min,5.8
174,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
175,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
176,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
177,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
178,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
179,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
180,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
181,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
182,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
183,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
184,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
185,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
186,Pleasure,R,Drama,109 min,6.4
187,The Last Duel,A,"Action, Drama, History",152 min,7.4
188,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
189,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
190,The Power of the Dog,16,"Drama, Western",126 min,6.8
191,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
192,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
193,Pig,R,"Drama, Mystery",92 min,6.9
194,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
195,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
196,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
197,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
198,Silent Hours,None,"Crime, Thriller",156 min,5.2
199,Boiling Point,R,"Drama, Thriller",92 min,7.5
200,The Road Dance,None,Drama,116 min,7
201,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
202,Nobody,A,"Action, Crime, Drama",92 min,7.4
203,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
204,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
205,CODA,A,"Comedy, Drama, Music",111 min,8
206,F9,UA,"Action, Crime, Thriller",143 min,5.2
207,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
208,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
209,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
210,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
211,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
212,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
213,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
214,The Fallout,A,Drama,96 min,7
215,The Black Phone,A,"Horror, Thriller",103 min,6.9
216,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
217,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
218,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
219,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
220,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
221,Encanto,U,"Animation, Comedy, Family",102 min,7.2
222,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
223,Old,UA,"Drama, Horror, Mystery",108 min,5.8
224,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
225,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
226,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
227,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
228,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
229,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
230,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
231,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
232,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
233,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
234,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
235,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
236,Pleasure,R,Drama,109 min,6.4
237,The Last Duel,A,"Action, Drama, History",152 min,7.4
238,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
239,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
240,The Power of the Dog,16,"Drama, Western",126 min,6.8
241,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
242,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
243,Pig,R,"Drama, Mystery",92 min,6.9
244,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
245,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
246,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
247,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
248,Silent Hours,None,"Crime, Thriller",156 min,5.2
249,Boiling Point,R,"Drama, Thriller",92 min,7.5
250,The Road Dance,None,Drama,116 min,7
251,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
252,Nobody,A,"Action, Crime, Drama",92 min,7.4
253,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
254,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
255,CODA,A,"Comedy, Drama, Music",111 min,8
256,F9,UA,"Action, Crime, Thriller",143 min,5.2
257,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
258,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
259,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
260,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
261,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
262,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
263,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
264,The Fallout,A,Drama,96 min,7
265,The Black Phone,A,"Horror, Thriller",103 min,6.9
266,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
267,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
268,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
269,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
270,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
271,Encanto,U,"Animation, Comedy, Family",102 min,7.2
272,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
273,Old,UA,"Drama, Horror, Mystery",108 min,5.8
274,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
275,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
276,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
277,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
278,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
279,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
280,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
281,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
282,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
283,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
284,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
285,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
286,Pleasure,R,Drama,109 min,6.4
287,The Last Duel,A,"Action, Drama, History",152 min,7.4
288,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
289,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
290,The Power of the Dog,16,"Drama, Western",126 min,6.8
291,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
292,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
293,Pig,R,"Drama, Mystery",92 min,6.9
294,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
295,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
296,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
297,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
298,Silent Hours,None,"Crime, Thriller",156 min,5.2
299,Boiling Point,R,"Drama, Thriller",92 min,7.5
300,The Road Dance,None,Drama,116 min,7
301,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
302,Nobody,A,"Action, Crime, Drama",92 min,7.4
303,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
304,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
305,CODA,A,"Comedy, Drama, Music",111 min,8
306,F9,UA,"Action, Crime, Thriller",143 min,5.2
307,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
308,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
309,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
310,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
311,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
312,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
313,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
314,The Fallout,A,Drama,96 min,7
315,The Black Phone,A,"Horror, Thriller",103 min,6.9
316,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
317,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
318,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
319,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
320,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
321,Encanto,U,"Animation, Comedy, Family",102 min,7.2
322,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
323,Old,UA,"Drama, Horror, Mystery",108 min,5.8
324,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
325,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
326,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
327,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
328,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
329,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
330,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
331,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
332,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
333,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
334,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
335,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
336,Pleasure,R,Drama,109 min,6.4
337,The Last Duel,A,"Action, Drama, History",152 min,7.4
338,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
339,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
340,The Power of the Dog,16,"Drama, Western",126 min,6.8
341,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
342,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
343,Pig,R,"Drama, Mystery",92 min,6.9
344,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
345,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
346,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
347,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
348,Silent Hours,None,"Crime, Thriller",156 min,5.2
349,Boiling Point,R,"Drama, Thriller",92 min,7.5
350,The Road Dance,None,Drama,116 min,7
351,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
352,Nobody,A,"Action, Crime, Drama",92 min,7.4
353,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
354,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
355,CODA,A,"Comedy, Drama, Music",111 min,8
356,F9,UA,"Action, Crime, Thriller",143 min,5.2
357,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
358,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
359,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
360,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
361,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
362,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
363,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
364,The Fallout,A,Drama,96 min,7
365,The Black Phone,A,"Horror, Thriller",103 min,6.9
366,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
367,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
368,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
369,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
370,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
371,Encanto,U,"Animation, Comedy, Family",102 min,7.2
372,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
373,Old,UA,"Drama, Horror, Mystery",108 min,5.8
374,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
375,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
376,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
377,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
378,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
379,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
380,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
381,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
382,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
383,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
384,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
385,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
386,Pleasure,R,Drama,109 min,6.4
387,The Last Duel,A,"Action, Drama, History",152 min,7.4
388,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
389,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
390,The Power of the Dog,16,"Drama, Western",126 min,6.8
391,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
392,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
393,Pig,R,"Drama, Mystery",92 min,6.9
394,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
395,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
396,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
397,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
398,Silent Hours,None,"Crime, Thriller",156 min,5.2
399,Boiling Point,R,"Drama, Thriller",92 min,7.5
400,The Road Dance,None,Drama,116 min,7
401,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
402,Nobody,A,"Action, Crime, Drama",92 min,7.4
403,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
404,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
405,CODA,A,"Comedy, Drama, Music",111 min,8
406,F9,UA,"Action, Crime, Thriller",143 min,5.2
407,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
408,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
409,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
410,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
411,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
412,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
413,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
414,The Fallout,A,Drama,96 min,7
415,The Black Phone,A,"Horror, Thriller",103 min,6.9
416,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
417,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
418,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
419,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
420,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
421,Encanto,U,"Animation, Comedy, Family",102 min,7.2
422,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
423,Old,UA,"Drama, Horror, Mystery",108 min,5.8
424,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
425,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
426,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
427,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
428,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
