index,title,certificate,genre,runtime,rating
2784,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
2785,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
2786,Pleasure,R,Drama,109 min,6.4
2787,The Last Duel,A,"Action, Drama, History",152 min,7.4
2788,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
2789,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
2790,The Power of the Dog,16,"Drama, Western",126 min,6.8
2791,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
2792,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
2793,Pig,R,"Drama, Mystery",92 min,6.9
2794,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
2795,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
2796,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
2797,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
2798,Silent Hours,None,"Crime, Thriller",156 min,5.2
2799,Boiling Point,R,"Drama, Thriller",92 min,7.5
2800,The Road Dance,None,Drama,116 min,7
2801,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
2802,Nobody,A,"Action, Crime, Drama",92 min,7.4
2803,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
2804,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
2805,CODA,A,"Comedy, Drama, Music",111 min,8
2806,F9,UA,"Action, Crime, Thriller",143 min,5.2
2807,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
2808,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
2809,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
2810,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
2811,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
2812,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
2813,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
2814,The Fallout,A,Drama,96 min,7
